學校名稱,年級,GPA,TOEFL,雅思,全民英檢,日文檢定,韓文檢定,法文檢定,德文檢定,國家
四川大學  Sichuan University,2,0,0,0,0,0,0,0,0,大陸地區
天津大學  Tianjin University,2,0,0,0,0,0,0,0,0,大陸地區
蘭州大學  Lanzhou University,2,0,0,0,0,0,0,0,0,大陸地區
北京師範大學  Beijing Normal University,2,0,0,0,0,0,0,0,0,大陸地區
武漢大學  Wuhan University,2,3.3,0,0,0,0,0,0,0,大陸地區
內蒙古大學  Inner Mongolia University,2,0,0,0,0,0,0,0,0,大陸地區
重慶大學  Chongqing University,2,0,0,0,0,0,0,0,0,大陸地區
西安交通大學  Xi'an Jiaotong University,2,2.8,0,0,0,0,0,0,0,大陸地區
哈爾濱工業大學  Harbin Institute of Technology,2,0,0,0,0,0,0,0,0,大陸地區
大連理工大學  Dalian University of Technology,2,0,0,0,0,0,0,0,0,大陸地區
廈門大學  Xiamen University,2,0,0,0,0,0,0,0,0,大陸地區
上海交通大學  Shanghai Jiao Tong University,2,3.3,0,0,0,0,0,0,0,大陸地區
山東大學  Shandong University,2,2.7,0,0,0,0,0,0,0,大陸地區
南京大學  Nanjing University,2,3.3,0,0,0,0,0,0,0,大陸地區
清華大學  Tsinghua University,2,0,0,0,0,0,0,0,0,大陸地區
浙江大學  Zhejiang Univeristy,2,0,0,0,0,0,0,0,0,大陸地區
中國科學技術大學  University of Science and Technology of China,2,3.3,0,0,0,0,0,0,0,大陸地區
復旦大學  Fudan University,2,3.3,0,0,0,0,0,0,0,大陸地區
北京大學  Peking University,2,3.3,0,0,0,0,0,0,0,大陸地區
中國人民大學  Renmin University of China,2,0,0,0,0,0,0,0,0,大陸地區
吉林大學  Jilin University,2,0,0,0,0,0,0,0,0,大陸地區
南開大學  Nankai University,2,0,0,0,0,0,0,0,0,大陸地區
馬來西亞諾丁漢大學  The University of Nottingham Malaysia,2,3.0,87,6.5,0,0,0,0,0,馬來西亞
拉曼大學  Universiti Tunku Abdul Rahman,2,0,79,6.0,2,0,0,0,0,馬來西亞
馬來亞大學  University of Malaya,2,3.3,80,6.0,0,0,0,0,0,馬來西亞
馬來西亞理工大學(UTM)  University of Technology Malaysia,2,3.3,79,6.0,0,0,0,0,0,馬來西亞
馬來西亞理科大學(USM)  Universiti Sains Malaysia,2,0,79,6.0,0,0,0,0,0,馬來西亞
蒙古國立大學  National University of Mongolia,，兩,0,79,6.0,0,0,0,0,0,蒙古
聖彼得堡國立大學  Saint Petersburg State University,2,0,92,6.5,0,0,0,0,0,俄羅斯
莫斯科國立大學  Lomonosov Moscow State University,9,3.3,0,0,0,0,0,0,0,俄羅斯
耶魯-新加坡國立大學學院  Yale-NUS College,2,3.3,79,6.0,0,0,0,0,0,新加坡
新加坡科技與設計大學  Singapore University of  Technology and Design,2,0,79,6.0,0,0,0,0,0,新加坡
新加坡管理大學  Singapore Management University,2,3.0,79,6.5,0,0,0,0,0,新加坡
南洋理工大學  Nanyang Technological University,2,3.0,90,6.0,2,0,0,0,0,新加坡
新加坡國立大學  National University of Singapore,2,3.0,10,6.5,0,0,0,0,0,新加坡
馬希竇大學  Mahidol University,2,2.7,79,6.0,0,0,0,0,0,泰國
國立法政大學  Thammasat University,2,3.3,80,6.5,0,0,0,0,0,泰國
朱拉隆功大學  Chulalongkorn University,2,3.0,79,6.0,0,0,0,0,0,泰國
亞洲理工學院  Asian Institute of Technology,6,3.0,80,6.0,0,0,0,0,0,泰國
薩邦哲大學  Sabanci University,2,0,80,6.0,2,0,0,0,0,土耳其
海峽大學  Bogazici University,2,2.7,79,6.5,0,0,0,0,0,土耳其
畢爾肯大學  Bilkent University,2,2.7,87,6.5,0,0,0,0,0,土耳其
中東科技大學  Middle East Technical University (METU),2,3.0,79,6.0,0,0,0,0,0,土耳其
柯克大學  Koç University,2,2.7,80,6.5,0,0,0,0,0,土耳其
維也納大學  University of Vienna,2,0,80,6.0,0,0,0,0,3,奧地利
林茲大學  Johannes Kepler University of Linz,2,0,85,6.0,0,0,0,0,4,奧地利
托馬斯莫爾應用科技大學  Thomas More University of Applied Sciences,2,2.75,79,6.0,0,0,0,0,0,比利時
布魯塞爾自由大學  Université Libre de Bruxelles,2,0,0,0,0,0,0,3,0,比利時
查理士大學  Charles University in Prague,2,0,79,6.0,0,0,0,0,0,捷克
馬薩里克大學  Masaryk University,2,0,79,6.0,3,0,0,0,0,捷克
奧胡斯大學  Aarhus University,2,0,83,6.5,0,0,0,0,0,丹麥
哥本哈根大學  University of Copenhagen,2,0,80,6.0,0,0,0,0,0,丹麥
拉瑞爾應用科技大學  Laurea University of Applied Sciences,2,0,79,6.0,0,0,0,0,0,芬蘭
拉瑞爾應用科技大學  Laurea University of Applied Sciences,2,0,79,6.0,0,0,0,0,0,芬蘭
赫爾辛基大學  University of Helsinki,2,0,79,6.0,0,0,0,0,0,芬蘭
波爾多大學  University of Bordeaux,2,0,79,6.0,0,0,0,3,0,法國
奧爾良大學  University of Orleans,2,0,92,6.5,2,0,0,4,0,法國
南巴黎大學 (巴黎第十一大學)  University Paris-Sud (University Paris Sud 11),2,3.0,79,6.0,0,0,0,3,0,法國
巴黎高等農業學院  AgroParisTech,6,0,79,6.0,0,0,0,3,0,法國
巴黎高等礦業學院  MINES ParisTech,6,3.0,0,0,0,0,0,3,0,法國
雷恩第一大學 (原翰尼第一大學)  University of Rennes 1,2,0,0,0,0,0,0,4,0,法國
巴黎第十三大學 (北巴黎大學)  University Paris 13 (University of Paris North),2,0,0,0,0,0,0,3,0,法國
巴黎西大學農泰爾拉德芳斯 (巴黎第十大學)  University of Paris Ouest - Nanterre La Défense,2,0,79,6.0,2,0,0,3,0,法國
巴黎薩克雷高等師範學校  École normale supérieure Paris-Saclay,2,0,95,6.5,0,0,0,4,0,法國
巴黎中央理工學院-電力高等學院  CentraleSupelec,3,0,90,6.5,2,0,0,4,0,法國
里爾天主教大學  Lille Catholic University,2,2.75,92,6.5,2,0,0,3,0,法國
法國女性高等綜合理工學院  EPF - Graduate School of Engineering,2,0,92,6.5,0,0,0,3,0,法國
特魯瓦科技大學  University of Technology of Troyes (UTT),2,0,79,6.0,2,0,0,3,0,法國
索邦大學（原皮耶及瑪麗居禮大學 )  Sorbonne University ( University Pierre and Marie CURIE ),2,3.0,0,0,0,0,0,3,0,法國
巴黎高等政治學院  Institut d’Études Politiques de Paris (Sciences Po),2,0,87,6.0,0,0,0,4,0,法國
尚慕蘭里昂第三大學  University Jean Moulin - Lyon 3,2,0,80,6.5,0,0,0,3,0,法國
科諾伯勒阿爾卑斯大學  University Grenoble Alpes (UGA),2,0,79,6.0,3,0,0,4,0,法國
明斯特大學  University of Münster,2,2.7,92,6.5,0,0,0,0,3,德國
達姆施塔特工業大學  Technical University of Darmstadt,2,0,79,6.0,2,0,0,0,4,德國
康斯坦茨大學  University of Konstanz,2,0,79,6.0,0,0,0,0,4,德國
柏林洪堡大學  Humboldt-University Berlin,2,0,80,6.0,0,0,0,0,4,德國
斯圖加特大學  University of Stuttgart,2,0,79,6.0,0,0,0,0,3,德國
弗萊堡大學  University of Freiburg,2,0,0,0,0,0,0,0,4,德國
柏林工業大學  Technical University of Berlin,2,0,87,6.0,2,0,0,0,4,德國
魯耳波洪大學  Ruhr-University Bochum,2,0,0,0,0,0,0,0,3,德國
慕尼黑大學  Ludwig Maximilian University of Munich,2,0,92,6.5,2,0,0,0,4,德國
曼漢姆大學  University of Mannheim,2,0,80,6.5,3,0,0,0,4,德國
漢堡大學  University of Hamburg,2,0,92,6.5,2,0,0,0,3,德國
亞亨工業大學  RWTH Aachen University,2,0,79,6.0,3,0,0,0,3,德國
慕尼黑工業大學  Technical University of Munich,2,0,88,6.5,0,0,0,0,4,德國
杜賓根大學  University of Tubingen,2,0,92,6.5,2,0,0,0,4,德國
烏爾姆大學  Ulm University,2,0,88,6.5,0,0,0,0,3,德國
波昂大學  University of Bonn,2,3.0,0,0,0,0,0,0,1,德國
卡爾斯魯爾理工學院  Karlsruhe Institute of Technology,2,0,92,6.5,2,0,0,0,2,德國
艾朗根紐倫堡大學  Friedrich-Alexander - University Erlangen-Nurnberg,2,0,80,6.0,0,0,0,0,2,德國
多特蒙德工業大學  TU Dortmund University,2,0,0,0,0,0,0,0,4,德國
海德堡大學  Heidelberg University,2,3.33,0,0,0,0,0,0,4,德國
柏林自由大學  Free University of Berlin,2,0,0,0,0,0,0,0,4,德國
羅蘭大學  Eötvös Loránd University,2,0,79,6.0,0,0,0,0,0,匈牙利
布達佩斯考文紐斯大學  Corvinus University of Budapest,2,2.8,79,6.0,0,0,0,0,0,匈牙利
布達佩斯科技經濟大學  Budapest University of Technology and Economics,2,0,90,6.0,0,0,0,0,0,匈牙利
冰島大學  University of Iceland,2,0,79,6.5,0,0,0,0,0,冰島
聖心天主教大學  Catholic University of the Sacred Heart,2,2.75,79,6.0,2,0,0,0,0,義大利
波隆納大學  University of Bologna,2,0,79,6.0,2,0,0,0,0,義大利
拉脫維亞大學  University of Latvia,2,2.5,79,6.0,0,0,0,0,0,拉脫維亞
考納斯理工大學  Kaunas University of Technology,2,0,79,6.0,2,0,0,0,0,立陶宛
維爾紐斯大學  Vilnius University,2,0,79,6.0,2,0,0,0,0,立陶宛
盧森堡大學  University of Luxembourg,2,0,92,6.5,0,0,0,4,0,盧森堡
盧森堡大學  University of Luxembourg,2,0,92,6.5,0,0,0,0,4,盧森堡
奈梅亨大學  Radboud University Nijmegen,2,0,79,6.0,0,0,0,0,0,荷蘭
阿姆斯特丹自由大學  VU University Amsterdam,2,0,92,6.5,0,0,0,0,0,荷蘭
馬斯垂克大學  Maastricht University,2,3.0,90,6.5,0,0,0,0,0,荷蘭
馬斯垂克大學  Maastricht University,2,0,92,6.5,2,0,0,0,0,荷蘭
馬斯垂克大學  Maastricht University,2,0,92,6.5,2,0,0,0,0,荷蘭
葛洛寧恩大學  University of Groningen,2,0,90,6.5,0,0,0,0,0,荷蘭
葛洛寧恩大學  University of Groningen,2,0,90,6.5,0,0,0,0,0,荷蘭
葛洛寧恩大學  University of Groningen,2,0,90,6.5,0,0,0,0,0,荷蘭
葛洛寧恩大學  University of Groningen,2,0,90,6.5,0,0,0,0,0,荷蘭
烏特列茲大學  Utrecht University,2,0,83,6.0,0,0,0,0,0,荷蘭
萊頓大學  Leiden University,2,3.44,90,6.5,0,0,0,0,0,荷蘭
奧斯陸大學  University of Oslo,2,0,79,6.0,0,0,0,0,0,挪威
華沙理工大學  Warsaw University of Technology,2,0,87,6.0,0,0,0,0,0,波蘭
華沙大學  University of Warsaw,2,0,89,6.5,2,0,0,0,0,波蘭
波爾圖大學  University of Porto,2,0,0,0,0,0,0,0,0,葡萄牙
盧比安納大學  University of Ljubljana,2,0,79,6.0,0,0,0,0,0,斯洛維尼亞
巴塞隆納大學  University of Barcelona,2,0,79,6.0,0,0,0,0,0,西班牙
薩拉曼卡大學  University of Salamanca,2,0,0,0,0,0,0,0,0,西班牙
馬德里大學  Complutense University of Madrid,2,0,0,0,0,0,0,0,0,西班牙
聖地牙哥．孔波斯特拉大學  University of Santiago de Compostela,2,0,0,0,0,0,0,0,0,西班牙
龐貝法布拉大學  Pompeu Fabra University,2,0,92,6.5,2,0,0,0,0,西班牙
馬德里自治大學  Autonomous University of Madrid,2,0,92,6.5,0,0,0,0,0,西班牙
巴塞隆納自治大學  Autonomous University of Barcelona,2,0,0,0,0,0,0,0,0,西班牙
馬德里技術大學  Technical University of Madrid,2,0,92,6.5,2,0,0,0,0,西班牙
林雪平大學  Linköping University,2,0,79,6.0,2,0,0,0,0,瑞典
林雪平大學  Linköping University,2,0,79,6.0,2,0,0,0,0,瑞典
皇家理工學院  KTH Royal Institute of Technology,2,0,90,6.5,0,0,0,0,0,瑞典
烏普薩拉大學  Uppsala University,2,0,92,6.5,2,0,0,0,0,瑞典
優密歐大學  Umeå University,2,0,79,6.0,2,0,0,0,0,瑞典
斯德哥爾摩大學  Stockholm University,2,0,79,6.0,0,0,0,0,0,瑞典
隆德大學  Lund University,2,0,90,6.5,0,0,0,0,0,瑞典
蘇黎世大學  University of Zurich,2,0,90,6.5,0,0,0,0,5,瑞士
洛桑大學  University of Lausanne,2,3.0,92,6.5,2,0,0,4,0,瑞士
伯恩大學  University of Bern,2,0,92,6.5,2,0,0,0,4,瑞士
聖加倫大學  University of St. Gallen,2,0,89,6.5,3,0,0,0,4,瑞士
伯明罕大學  University of Birmingham,2,3.3,80,6.0,0,0,0,0,0,英國
諾丁漢大學  The University of Nottingham United Kingdom Campus,2,3.3,87,6.5,0,0,0,0,0,英國
倫敦大學瑪麗王后學院  Queen Mary University of London,2,3.3,79,6.0,0,0,0,0,0,英國
肯特大學  University of Kent,2,3.3,90,6.5,0,0,0,0,0,英國
愛丁堡大學  University of Edinburgh,2,3.3,92,6.5,0,0,0,0,0,英國
薩塞克斯大學  University of Sussex,2,3.3,88,6.5,0,0,0,0,0,英國
曼徹斯特大學  University of Manchester,2,3.3,90,6.5,0,0,0,0,0,英國
南安普頓大學  University of Southampton,2,3.3,92,6.5,0,0,0,0,0,英國
阿德雷德大學  The University of Adelaide,2,2.7,79,6.5,0,0,0,0,0,澳大利亞
雪梨大學  The University of Sydney,2,3.3,85,6.5,0,0,0,0,0,澳大利亞
蒙納許大學  Monash University,2,3.3,79,6.5,0,0,0,0,0,澳大利亞
昆士蘭大學  The University of Queensland,2,3.3,87,6.5,0,0,0,0,0,澳大利亞
格里菲斯大學  Griffith University,2,0,79,6.0,0,0,0,0,0,澳大利亞
汀肯大學  Deakin University,2,2.8,79,6.0,0,0,0,0,0,澳大利亞
新南威爾斯大學  The University of New South Wales,2,3.3,90,6.5,0,0,0,0,0,澳大利亞
馬奎里大學  Macquarie University,2,0,83,6.5,0,0,0,0,0,澳大利亞
澳洲國立大學  The Australian National University,2,3.0,80,6.5,0,0,0,0,0,澳大利亞
墨爾本大學  The University of Melbourne,2,3.0,79,6.5,0,0,0,0,0,澳大利亞
坎特伯雷大學  University of Canterbury,2,0,80,6.0,0,0,0,0,0,紐西蘭
威靈頓維多利亞大學  Victoria University of Wellington,2,3.0,80,6.0,0,0,0,0,0,紐西蘭
奧克蘭大學  University of Auckland,2,2.7,80,6.0,0,0,0,0,0,紐西蘭
開普敦大學  University of Cape Town,2,3.3,88,6.5,0,0,0,0,0,南非
斯泰倫博斯大學  Stellenbosch University,2,3.1,79,6.0,0,0,0,0,0,南非
"加州大學戴維斯分校  University of California, Davis",2,3.3,80,6.5,0,0,0,0,0,美國
夏威夷大學希羅分校  University of Hawai‘i at Hilo,2,3.0,79,6.0,0,0,0,0,0,美國
奧瑞岡大學  University of Oregon,2,2.0,79,6.0,0,0,0,0,0,美國
夏威夷大學瑪諾亞分校  University of Hawaii at Manoa,2,2.7,79,6.0,0,0,0,0,0,美國
汀肯大學  Deakin University,2,2.8,79,6.0,0,0,0,0,0,澳大利亞
墨爾本大學  The University of Melbourne,2,3.0,79,6.5,0,0,0,0,0,澳大利亞
